Id,Designator,Package,Quantity,Designation,Supplier and ref
1,CON1,PJ301M-12,1,jack-PJ301M-12,
2,"RV4,RV3,RV1,RV2",Potentiometer_Alpha-RV09,4,500K,
3,"C1,C3",C_Disc_D6_P5,2,10n,
4,D1,LED-5MM,1,LED,
5,P1,bornier2,1,Pile 1+/2-,
6,SW1,SW_DIP_x1_Slide,1,SPST,
7,U1,DIP-14_W7.62mm_LongPads,1,40106,
8,U2,DIP-16_W7.62mm_LongPads,1,4520,
9,U3,DIP-16_W7.62mm_LongPads,1,4046,
10,C4,C_Radial_D5_L6_P2.5,1,10uF,
11,C2,C_Disc_D6_P5,1,1u,
12,"R1,R12",Resistor_Horizontal_RM7mmPrint,2,10k,
13,"R2,R6,R10,R14",Resistor_Horizontal_RM7mmPrint,4,10K,
14,"R3,R7",Resistor_Horizontal_RM7mmPrint,2,100K,
15,"R4,R8",Resistor_Horizontal_RM7mmPrint,2,47K,
16,"R5,R9",Resistor_Horizontal_RM7mmPrint,2,22K,
17,R11,Resistor_Horizontal_RM7mmPrint,1,1M,
18,R13,Resistor_Horizontal_RM7mmPrint,1,"4,7K",
